,0,1
298,1.0,1.0
299,0.0,0.01
300,0.0,0.0
301,1.0,0.86
302,1.0,0.99
303,0.0,0.08
304,1.0,1.0
305,1.0,1.0
306,0.0,0.81
307,1.0,1.0
308,1.0,1.0
309,0.0,0.0
310,0.0,0.14
311,1.0,0.94
312,0.0,0.0
313,0.0,0.01
314,0.0,0.0
315,1.0,1.0
316,1.0,1.0
317,0.0,0.29
318,1.0,0.3
319,1.0,0.08
320,1.0,1.0
321,1.0,0.99
322,1.0,0.93
323,1.0,1.0
324,1.0,0.17
325,0.0,0.07
326,1.0,1.0
327,1.0,0.32
328,1.0,0.25
329,0.0,0.0
330,0.0,0.34
331,1.0,1.0
332,0.0,0.04
333,0.0,0.0
334,1.0,1.0
335,1.0,1.0
336,0.0,0.0
337,0.0,0.0
338,0.0,0.0
339,1.0,0.9
340,0.0,0.01
341,0.0,0.0
342,0.0,0.01
343,0.0,0.0
344,1.0,1.0
345,0.0,0.01
346,0.0,0.01
347,0.0,0.0
348,0.0,0.02
349,0.0,0.0
350,0.0,0.0
351,1.0,1.0
352,1.0,1.0
353,0.0,0.03
354,1.0,1.0
355,1.0,1.0
356,0.0,0.01
357,0.0,0.0
358,1.0,1.0
359,1.0,1.0
